ID,Nhóm,Điểm tổng,Điểm tối đa,Điểm quy đổi,Đếm số cách phân hoạch 1 cây thành 2 cây rời nhau,"Đếm số cách phân hoạch tập 1, 2, ..., n thành k tập con",Đếm số cây khung của đồ thị khuyên,Đếm số phương án giao hàng từ kho trung tâm (lớn - khó - dùng truy hồi),Đếm số phương án vận chuyển đón-trả,"Đếm số hoán vị của 1, 2, ..., n với ràng buộc về thứ tự",Cho ma trận tìm đồ thị,Tồn tại đồ thị,bậc vô hướng,DFS,xac định đỉnh,Đường đi 1,Đường đi 1,Số lượng đường đi đơn trong đồ thị đầy đủ (2),Insert edge,Thuật toán Kruskal,Tính luồng cực đại,Lát cắt cực tiểu,Ly thuyet,Câu hỏi 2,Prim A,Câu hỏi 2,Tính trọng số của cây khung,Tồn tại cây khung,Câu hỏi 1,Câu hỏi 1,Chia kẹo khó - instance 1,Đúng sai về Cây,Câu hỏi 1,Câu hỏi 2,Câu hỏi 1,Câu 1,Nhận diện topology,"Số lượng dãy tăng, giảm (4)",Permutation 2,"Số lượng lựa chọn lớp trưởng, bí thư (2)",Đếm số cách phân hoạch 1 cây thành 2 cây con có số cạnh cho trước,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Ly thuyet,Giảm cận,Giảm cận,Giảm cận,Giảm cận,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát,Tìm đường đi đơn ngắn nhất trong đồ thì tổng quát
21657,Nhóm 1 - kíp 3,20,41,48.78,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,Chưa làm,0,0,0,Chưa làm,1,1,0,1,Chưa làm,1,1,1,0,Chưa làm,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có
21659,Nhóm 1 - kíp 3,18,41,43.9,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,1,1,Chưa làm,0,Chưa làm,1,0,1,Chưa làm,0,1,1,0,0,1,0,1,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0
21660,Nhóm 1 - kíp 3,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21661,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,1,1,1,1,0,1,1,Chưa làm,1,1,1,0,1,0,Chưa làm,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21662,Nhóm 1 - kíp 3,15,41,36.59,1,0,0,0,0,0,1,0,1,0,Chưa làm,1,1,1,0,1,0,0,0,1,1,Chưa làm,1,0,Chưa làm,1,0,1,1,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
21663,Nhóm 1 - kíp 3,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21664,Nhóm 1 - kíp 3,19,41,46.34,0,Chưa làm,Chưa làm,Chưa làm,1,1,1,Chưa làm,1,1,0,1,1,1,1,1,2,0,Chưa làm,1,0,Chưa làm,1,1,Chưa làm,1,Chưa làm,1,1,0,Chưa làm,0,1,0,Chưa làm,Chưa làm,0,0,Không có,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21665,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,Chưa làm,0,Chưa làm,0,0,0,0,0,Chưa làm,Chưa làm,1,0,1,Chưa làm,0,1,0,1,0,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
21666,Nhóm 1 - kíp 3,22,41,53.66,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,0,Không có,0,Không có,Không có,Không có,Không có
21668,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,0,1,1,0,1,0,Chưa làm,1,1,0,0,0,0,Chưa làm,1,0,Chưa làm,Chưa làm,Chưa làm,0,0,1,Chưa làm,0,1,1,1,Chưa làm,0,1,0,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21669,Nhóm 1 - kíp 3,17,41,41.46,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,Chưa làm,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21670,Nhóm 1 - kíp 3,15,41,36.59,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,Chưa làm,1,0,Chưa làm,Chưa làm,0,Chưa làm,0,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21672,Nhóm 1 - kíp 3,11,41,26.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,Chưa làm,1,Chưa làm,0,0,1,0,0,Chưa làm,1,0,0,0,0,1,0,1,1,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21674,Nhóm 1 - kíp 3,19,41,46.34,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,2,0,1,1,1,0,0,0,0,0,Chưa làm,1,0,1,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21675,Nhóm 1 - kíp 3,17,41,41.46,0,0,0,0,0,Chưa làm,0,0,Chưa làm,0,0,0,Chưa làm,1,1,0,2,0,1,Chưa làm,1,0,0,0,0,1,0,1,Chưa làm,1,1,0,1,1,1,1,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
21676,Nhóm 1 - kíp 3,2,41,4.88,0,0,0,1,0,1,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,0,0,0,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21677,Nhóm 1 - kíp 3,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21678,Nhóm 1 - kíp 3,14,41,34.15,0,0,Chưa làm,0,0,0,0,1,1,1,Chưa làm,0,0,0,1,1,0,Chưa làm,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có
21679,Nhóm 1 - kíp 3,23,41,56.1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21682,Nhóm 1 - kíp 3,18,41,43.9,0,1,0,0,Chưa làm,0,1,1,1,1,0,1,1,1,0,1,2,0,0,Chưa làm,1,Chưa làm,0,0,Chưa làm,1,Chưa làm,1,1,0,0,0,1,0,1,0,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có
21683,Nhóm 1 - kíp 3,24,41,58.54,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,Chưa làm,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
21684,Nhóm 1 - kíp 3,20,41,48.78,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,2,0,1,0,Chưa làm,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
21685,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,1,Không có,Không có,Không có,Không có
21686,Nhóm 1 - kíp 3,17,41,41.46,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,Chưa làm,1,0,1,1,0,Chưa làm,Chưa làm,1,Chưa làm,1,Chưa làm,0,1,0,1,0,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0
21687,Nhóm 1 - kíp 3,13,41,31.71,0,Chưa làm,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,Chưa làm,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21688,Nhóm 1 - kíp 3,20,41,48.78,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,Chưa làm,1,1,1,0,1,0,1,1,1,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1
21689,Nhóm 1 - kíp 3,14,41,34.15,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,0,1,1,0,0,0,1,0,1,1,Chưa làm,Chưa làm,0,1,1,Chưa làm,0,0,0,1,Chưa làm,1,1,1,0,Chưa làm,Chưa làm,0,1,1,0,Không có,Không có,Không có,Không có,Không có,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
21690,Nhóm 1 - kíp 3,23,41,56.1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,Không có,Không có,0,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có
21691,Nhóm 1 - kíp 3,31,41,75.61,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có
21692,Nhóm 1 - kíp 3,15,41,36.59,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,Chưa làm,1,0,1,1,1,1,0,0,0,Chưa làm,Chưa làm,1,0,Chưa làm,0,0,0,0,Chưa làm,1,0,1,1,1,1,0,1,1,Chưa làm,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,0
21693,Nhóm 1 - kíp 3,20,41,48.78,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,2,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
21694,Nhóm 1 - kíp 3,17,41,41.46,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,Chưa làm,1,0,0,1,0,1,1,0,0,1,0,1,1,Chưa làm,Chưa làm,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21695,Nhóm 1 - kíp 3,19,41,46.34,0,Chưa làm,0,0,0,1,1,0,1,0,0,1,0,1,0,0,2,Chưa làm,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,Không có
21696,Nhóm 1 - kíp 3,Chưa làm,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21697,Nhóm 1 - kíp 3,8,41,19.51,Chưa làm,0,Chưa làm,0,Chưa làm,1,1,Chưa làm,1,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,Chưa làm,0,1,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,0,Chưa làm,1,0,1,0,0,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,0,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21698,Nhóm 1 - kíp 3,15,41,36.59,0,0,Chưa làm,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,Chưa làm,0,0,0,0,1,0,1,0,1,1,0,1,1,0,Không có,0,Không có,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21699,Nhóm 1 - kíp 3,11,41,26.83,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,Chưa làm,0,Chưa làm,1,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,1,Chưa làm,Chưa làm,0,0,Chưa làm,Chưa làm,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Chưa làm,Không có,Chưa làm,Không có
21700,Nhóm 1 - kíp 3,17,41,41.46,0,Chưa làm,0,0,1,0,0,0,Chưa làm,1,1,1,1,0,1,1,Chưa làm,Chưa làm,Chưa làm,1,0,Chưa làm,1,Chưa làm,Chưa làm,1,0,1,1,1,0,0,1,Chưa làm,1,1,0,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Chưa làm,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21701,Nhóm 1 - kíp 3,23,41,56.1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,2,Chưa làm,0,1,1,Chưa làm,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21702,Nhóm 1 - kíp 3,19,41,46.34,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,Chưa làm,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có
21703,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,0,0,0,1,1,1,0,Chưa làm,0,1,0,1,Chưa làm,Chưa làm,Chưa làm,0,0,1,0,Chưa làm,1,Chưa làm,1,0,1,1,Chưa làm,0,1,Chưa làm,1,1,1,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,Không có,Không có
21704,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,0,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21705,Nhóm 1 - kíp 3,29,41,70.73,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21706,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0
21707,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,Chưa làm,0,1,1,Chưa làm,0,0,0,0,1,Chưa làm,1,1,1,1,1,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
21708,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
21709,Nhóm 1 - kíp 3,16,41,39.02,1,0,0,0,1,1,0,1,1,0,Chưa làm,0,1,1,1,0,0,0,1,0,Chưa làm,0,0,1,0,0,Chưa làm,1,Chưa làm,1,0,Chưa làm,0,0,0,1,0,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21710,Nhóm 1 - kíp 3,21,41,51.22,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21711,Nhóm 1 - kíp 3,24,41,58.54,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,0,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21712,Nhóm 1 - kíp 3,13,41,31.71,0,0,0,1,1,0,1,0,0,0,Chưa làm,1,0,1,1,0,0,Chưa làm,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có
21713,Nhóm 1 - kíp 3,23,41,56.1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
21714,Nhóm 1 - kíp 3,12,41,29.27,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Chưa làm,1,0,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có
21715,Nhóm 1 - kíp 3,18,41,43.9,0,0,0,1,1,0,1,0,1,0,Chưa làm,1,0,1,1,1,0,1,1,0,Chưa làm,0,Chưa làm,0,0,1,0,1,1,1,0,1,1,0,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,0,Không có
21985,Nhóm 1 - kíp 3,17,41,41.46,0,0,1,0,0,0,0,1,1,Chưa làm,Chưa làm,0,0,0,0,1,0,0,1,0,0,Chưa làm,0,1,Chưa làm,1,0,1,1,1,1,1,1,0,1,1,0,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có
26607,Nhóm 1 - kíp 3,14,41,34.15,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,Chưa làm,1,1,1,1,0,1,1,1,1,0,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có
26608,Nhóm 1 - kíp 3,15,41,36.59,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,Chưa làm,0,Chưa làm,1,1,Chưa làm,Chưa làm,Chưa làm,0,Chưa làm,Chưa làm,Chưa làm,1,Chưa làm,0,0,1,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
26609,Nhóm 1 - kíp 3,23,41,56.1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,2,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,Không có,1,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có
26610,Nhóm 1 - kíp 3,14,41,34.15,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,1,1,1,Chưa làm,0,Chưa làm,0,Chưa làm,Chưa làm,0,1,0,0,0,0,1,0,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có,Không có,Không có,Không có,Chưa làm,Không có,Không có,Không có,0,Không có
26611,Nhóm 1 - kíp 3,20,41,48.78,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,2,Chưa làm,1,1,0,Chưa làm,Chưa làm,1,Chưa làm,1,Chưa làm,0,1,1,0,0,1,0,0,1,0,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có
26612,Nhóm 1 - kíp 3,16,41,39.02,0,0,0,0,0,1,1,0,1,0,1,Chưa làm,0,Chưa làm,1,Chưa làm,Chưa làm,Chưa làm,1,0,Chưa làm,Chưa làm,Chưa làm,1,0,1,0,1,1,0,0,1,1,1,0,1,0,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,0,Không có,Không có,Không có
26613,Nhóm 1 - kíp 3,25,41,60.98,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,2,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,Không có,Không có,Không có,Không có,Không có,Không có,1,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,1,Không có,Không có,Không có,Không có,Không có,Không có,Không có,Không có
